Time,kWh
21/05/2022 00:00,0.054
22/05/2022 00:00,0.9119
23/05/2022 00:00,1.0689
24/05/2022 00:00,1.2617
25/05/2022 00:00,0.6954
26/05/2022 00:00,0.9002
27/05/2022 00:00,0.6846
28/05/2022 00:00,0.7108
29/05/2022 00:00,0.6975
30/05/2022 00:00,0.8965
31/05/2022 00:00,0.699
01/06/2022 00:00,1.0878
02/06/2022 00:00,0.7008
03/06/2022 00:00,0.6602
04/06/2022 00:00,1.0583
05/06/2022 00:00,9.6454
06/06/2022 00:00,18.8676
07/06/2022 00:00,0.6035
08/06/2022 00:00,0.7107
09/06/2022 00:00,0.6978
10/06/2022 00:00,0.9039
11/06/2022 00:00,0.856
12/06/2022 00:00,0.7521
13/06/2022 00:00,0.6992
14/06/2022 00:00,0.7005
15/06/2022 00:00,0.6037
16/06/2022 00:00,0.7026
17/06/2022 00:00,0.6953
18/06/2022 00:00,0.6958
19/06/2022 00:00,0.6772
20/06/2022 00:00,0.6942
21/06/2022 00:00,0.6837
22/06/2022 00:00,0.3284
23/06/2022 00:00,0.6631
24/06/2022 00:00,0.5707
25/06/2022 00:00,0.6769
26/06/2022 00:00,1.068
27/06/2022 00:00,0.6377
28/06/2022 00:00,0.6809
29/06/2022 00:00,0.6874
30/06/2022 00:00,0.4547
01/07/2022 00:00,0.1176
02/07/2022 00:00,0.2336
03/07/2022 00:00,0.1878
04/07/2022 00:00,0.3735
05/07/2022 00:00,0.5103
06/07/2022 00:00,0.6973
07/07/2022 00:00,0.5931
08/07/2022 00:00,0.7014
09/07/2022 00:00,0.7104
10/07/2022 00:00,0.5656
11/07/2022 00:00,0.4989
12/07/2022 00:00,0.6311
13/07/2022 00:00,0.6893
14/07/2022 00:00,0.6976
15/07/2022 00:00,0.7072
16/07/2022 00:00,0.7143
17/07/2022 00:00,0.6952
18/07/2022 00:00,1.2313
19/07/2022 00:00,0.7036
20/07/2022 00:00,0.695
21/07/2022 00:00,0.6649
22/07/2022 00:00,1.0368
23/07/2022 00:00,0.3722
24/07/2022 00:00,0.6172
25/07/2022 00:00,0.1663
26/07/2022 00:00,0.5258
27/07/2022 00:00,0.5789
28/07/2022 00:00,0.6069
29/07/2022 00:00,0.67
30/07/2022 00:00,0.6958
31/07/2022 00:00,0.6646
01/08/2022 00:00,0.694
02/08/2022 00:00,0.697
03/08/2022 00:00,0.6704
04/08/2022 00:00,0.6951
05/08/2022 00:00,0.7115
06/08/2022 00:00,1.2786
07/08/2022 00:00,1.2123
08/08/2022 00:00,2.3507
09/08/2022 00:00,0.6745
10/08/2022 00:00,1.5517
11/08/2022 00:00,1.2078
12/08/2022 00:00,5.4278
13/08/2022 00:00,5.8136
14/08/2022 00:00,0.704
15/08/2022 00:00,0.6975
16/08/2022 00:00,0.7067
17/08/2022 00:00,0.705
18/08/2022 00:00,0.697
19/08/2022 00:00,0.698
20/08/2022 00:00,0.6759
21/08/2022 00:00,0.699
22/08/2022 00:00,0.6682
